0,1,2,3
ไปพบหมอสูติ นอกเวลาค่ะ ยื่นบัตรผู้ป่วยไม่ได้นัด 15:30น. จากนั้นนั่งรอเรียกชื่อค่ะ พยาบาลจะถามว่าเราเป็นอะไรมา แล้วก้อบอกว่าค่าใช้จ่ายนอกเวลาจะชาร์จขึ้นอีกเท่านึงจากเวลาปกตินะ พยาบาลพูดดี  ทุกอย่างโดยรวมถือว่าโอเค แต่คนไข้นอกเวลาเยอะนิดนึงนะคะ ตอนที่เราตรวจไปตรวจภายในค่ะ มีความผิดปกติคือ เป็นเชื้อราในช่องคลอด คุณหมอก็แนะนำดีมากเลยคะ แล้วก้อนัดอีกเดือนนึง เพื่อตรวจหามะเร็จปากมดลูก,5,Going to see an obstetrician at the time. Submitting the patient's card does not appear. 15:30 hrs. And then waiting to call the name. The nurse will ask what we are. And said that the extra time will be charged again from the normal time. The nurse said good. Everything overall is ok. But the patient has a lot of time When we checked in There is an abnormality Is a fungus in the vagina The doctor recommended very well. Then make another appointment a month To detect the cervix,rama
เคยไปผ่าตัดที่โรงพยาบาลนี้เขารักษาดูแลดีมากทั้งหมอสถาบันประสาทและรพ.นี้ช่วยกันดูแลหนูเป็นอย่างดีเลยตอนผ่าตัดมาผ่าที่รามาตอนรักษารักษาที่สถาบันประสาทมันอยู่ติดกันและตอนนี้ก็ไม่มีอาการแล้วหายแล้วแม่ก็ไปผ่าต้อที่รามาหมอฝีมือดีมากค่ะที่นี้เพื่อนก็มีโรคประจำตัวเขาเป็นไรไม่รู้แต่กินเท่าไหล่ก็ไม่อ้วนมีแต่กระตูกก็มาที่รามาหมอก็ให้คำปรึกษาอย่างดีเขาก็ดีขึ้นหุ่นเริ่มมีน้ำมีนวลขึ้นไม่เห็นกระดูกเหมือนเมื่อก่อนแล้วที่นี้ดีไม่มีคำว่าเลี้ยงไข้เคยไปมารพ.นึงก่อนจะมารักษาที่สถาบันประสาทและได้มาผ่าตัดที่นี้โดนเลี้ยงไข้มา3ปี,5,"Used to have surgery at this hospital, he maintained very well, both doctors, neuroscience institutions and this hospital helped to take care of the mice as well. The symptoms then disappeared and the mother went to work at Ramama. The doctor is very skilled. At this point, his friends have their own diseases. Well, he's better For 3 years",rama
เป็นโรงพยาบาลที่ทั้งครอบครัวและญาติใช้บริการ ระบบคัดกรองคนไข้และจัดการข้อมูลอยู่ในระดับดีเยี่ยม บุคลากรของโรงพยาบาลเก่งมาก แพทย์มีความสามารถในระดับดีถึงดีมาก เป็นที่ยอมรับในสากล ตัวข้าพเจ้าเองมารักษาโรคลมชัก เบาหวานและโรคทางระบบประสาทที่นี่หลายปีแล้ว แพทย์ในแผนกต่างๆประสานงานกันได้ดี อีกทั้งลูกสาวข้าพเจ้าก็มารักษาโรคลมชักที่โรงพยาบาลแห่งนี้เช่นเดียวกัน รักษาตั้งแต่เด็กจนตอนนี้เป็นผู้ใหญ่แล้ว ถึงแม้ว่าโรคจะยังไม่หายไป แต่ถ้าทำตามคำแนะนำของแพทย์อย่างเคร่งครัด อาการของโรคก็ไม่ปรากฎออกมาให้เห็นเลย,5,Is a hospital where both family and relatives use the service Patient screening system and excellent data management Hospital personnel are very good. The doctor has a good ability to be very good. Accepted in the world I came to treat epilepsy. Diabetes and neurological diseases have been here for many years. Doctors in various departments coordinate well. Also my daughter came to treat epilepsy at this hospital as well. Keeping from childhood until now is an adult Although the disease has not disappeared But if following the doctor's instructions strictly The symptoms of the disease did not appear.,rama
เป็นโรงพยาบาลที่ทั้งครอบครัวและญาติใช้บริการ ระบบคัดกรองคนไข้และจัดการข้อมูลอยู่ในระดับดีเยี่ยม บุคลากรของโรงพยาบาลเก่งมาก แพทย์มีความสามารถในระดับดีถึงดีมาก เป็นที่ยอมรับในสากล ตัวข้าพเจ้าเองมารักษาโรคลมชัก เบาหวานและโรคทางระบบประสาทที่นี่หลายปีแล้ว แพทย์ในแผนกต่างๆประสานงานกันได้ดี อีกทั้งลูกสาวข้าพเจ้าก็มารักษาโรคลมชักที่โรงพยาบาลแห่งนี้เช่นเดียวกัน รักษาตั้งแต่เด็กจนตอนนี้เป็นผู้ใหญ่แล้ว ถึงแม้ว่าโรคจะยังไม่หายไป แต่ถ้าทำตามคำแนะนำของแพทย์อย่างเคร่งครัด อาการของโรคก็ไม่ปรากฎออกมาให้เห็นเลย,5,Is a hospital where both family and relatives use the service Patient screening system and excellent data management Hospital personnel are very good. The doctor has a good ability to be very good. Accepted in the world I came to treat epilepsy. Diabetes and neurological diseases have been here for many years. Doctors in various departments coordinate well. Also my daughter came to treat epilepsy at this hospital as well. Keeping from childhood until now is an adult Although the disease has not disappeared But if following the doctor's instructions strictly The symptoms of the disease did not appear.,rama
"ครั้งแรก ไปแผนกฉุกเฉิกแต่ไม่ใช่อุบัติเหตุ แพทย์ พยาบาล ให้คำแนะนำดีมาก อธิบาย ผลข้างเคียงจากการใช้ยา และเราประกอบการตัดสินใจ  ไม่เคยไปรักษา แต่พอดีเลยลงทะเบียนผ่านหน้าเว็บไซด์ไว้นานแล้ว พอต้องไปจริง ใช้เลข ปชช. 13 หลัก ก็มีประวัติเลย ตรงนี้ดีมาก ขณะที่มีเรื่องฉุกเฉิน เราไม่ต้องมานั่งกรอกแบบฟอร์มหรือแจ้งข้อมูลอีก อาจจะรอนานหน่อย แต่ก็เข้าใจเพราะอาการเราไม่เหมือนอุบัติเหตุ",5,"The first time went to the emergency department, but it was not an accident. The doctors, nurses gave very good advice, explaining the side effects of the drug. And we make decisions Never go to treatment But fit so far, registering through the website for a long time and then having to actually use the 13-digit PCHC number, it has a history. This is very good. We do not have to sit and fill out forms or report information again. May wait a little longer But understand because of the symptoms we are not like an accident",rama
เป็นโรงพยาบาลที่ทั้งครอบครัวและญาติใช้บริการ ระบบคัดกรองคนไข้และจัดการข้อมูลอยู่ในระดับดีเยี่ยม บุคลากรของโรงพยาบาลเก่งมาก แพทย์มีความสามารถในระดับดีถึงดีมาก เป็นที่ยอมรับในสากล ตัวข้าพเจ้าเองมารักษาโรคลมชัก เบาหวานและโรคทางระบบประสาทที่นี่หลายปีแล้ว แพทย์ในแผนกต่างๆประสานงานกันได้ดี อีกทั้งลูกสาวข้าพเจ้าก็มารักษาโรคลมชักที่โรงพยาบาลแห่งนี้เช่นเดียวกัน รักษาตั้งแต่เด็กจนตอนนี้เป็นผู้ใหญ่แล้ว ถึงแม้ว่าโรคจะยังไม่หายไป แต่ถ้าทำตามคำแนะนำของแพทย์อย่างเคร่งครัด อาการของโรคก็ไม่ปรากฎออกมาให้เห็นเลย,5,Is a hospital where both family and relatives use the service Patient screening system and excellent data management Hospital personnel are very good. The doctor has a good ability to be very good. Accepted in the world I came to treat epilepsy. Diabetes and neurological diseases have been here for many years. Doctors in various departments coordinate well. Also my daughter came to treat epilepsy at this hospital as well. Keeping from childhood until now is an adult Although the disease has not disappeared But if following the doctor's instructions strictly The symptoms of the disease did not appear.,rama
เป็นโรงพยาบาลที่ผมเองใช้บริการบ่อยๆ การบริการดีมากเลยครับ,4,Is a hospital that I personally use frequently The service is very good.,rama
ดีครับ ดูแลค่อนข้างดี,4,"Well, take care quite well.",rama
ให้บริการดี คุณหมอเอาใจใส่คนไข้ดี จัดเรียงระบบตามเวลานัด,4,"Good service, the doctor cares for the patients Arrange the system according to the appointment time",rama
ผ่าตัดหลังมาค่ะ คุณหมอใจดีมาก จนท.ดูแลดี เสีย แต่ไม่ค่อยยิ้มแย้มแจ่มใส เครื่อง mri เหมือนเก่า ตอนทำออกมาหน้ามืดเลย หายใจไม่ค่อยออก,4,"Back surgery The doctor is so kind that he is well-groomed, but not smiling. The mri machine is like the old one. Rarely breathe out",rama
พยาบาลพูดจาดี หมอเก่งมาก,5,The nurse spoke well. The doctor was very good.,rama
ได้รับการผ่าตัดที่โรงพยาบาลรามาธิบดีค่ะ ซึ่งเป็นการผ่าตัดและการนอนโรงพยาบาลครั้งแรกในชีวิต ทำให้มีความกังวลมาก แต่แพทย์และพยาบาลดูแลเป็นอย่างดีค่ะ ให้คำแนะนำทั้งก่อนและหลังผ่าเป็นอย่างดี ทำให้รู้สึกคลายกังวลไปได้เยอะ กลับมาพักฟื้นที่บ้านแล้วมีปัญหาเกี่ยวแผลเลยโทรไปปรึกษา เจ้าหน้าที่ก็ให้บริการดีมากค่ะ,5,Received surgery at Ramathibodi Hospital Which is the first surgery and hospital stay in life Causing great concern But doctors and nurses take good care Give advice before and after dissecting as well Makes you feel very relaxed Back to recover at home and have problems with the wound. Call to consult. The staff were very helpful.,rama
ดีทุกอย่าง ติดตรงค่าบริการ แยกบิลแปลกๆ  ซ้ำซ้อน จนต้องเดินไปถาม บอกมาเเค่ว่าหมอสั่ง  เฮ้อ,3,"Well, everything is straight, the bill is strange, redundant, so have to walk to ask. Told me that the doctor ordered hey",rama
ถึงจะเป็นโรงพยาบาลของรัฐแต่ให้บริการและดูแลดีมากจริงๆค่ะ ตั้งแต่แพทย์พยาบาล จนถึงเจ้าหน้าที่ทุกท่านค่ะ,5,"Even though it is a public hospital, but really good service and care Since doctors, nurses Until all staff",rama
วันที่ 18/01/60 ฉันเป็นไข้ตัวร้อนมาก ตอนนั้นเวลาประมาณ18.00น. เพื่อนได้พาฉันไปที่โรงพยาบาลซึ่งตึกที่ไปรักษาคืออาคารฉุกเฉินคนไข้เยอะมากกก แต่พอเดินเข้าไปติดต่อเจ้าหน้าที่ใให้การตอนรับดีมาก ยิ้มแย้มแจ่มใส ใส่ใจดูแลถามอาการและให้การรักษาเราอย่างดี ทั้งที่เจ้าหน้าที่ก็ทำงานมาทั้งวันและคนไข้ก็เยอะมากแต่ยังดูแลคนไข้อย่างทั่วถึงและเต็มใจให้บริการ พร้อมรอยยิ้ม มันเป็นสิ่งที่เล็กน้อยแต่ทำให้เรารู้ว่าเค้าเต็มใจให้บริการและไม่ทอดทิ้งคนไข้ค่ะ,5,"On 18/01/60 I was very hot fever. At that time around 18.00 hrs. Friends have taken me to the hospital where the building that is being treated is an emergency building. But when he walked in contact with the staff for a very good reception Beaming Care, ask questions and treat us well. Both the staff had been working all day and the patients were a lot, but also taking care of the patients thoroughly and willing to provide services with a smile.",rama
อุปกรณ์เครื่องมือแพทย์ทันสมัย แพทย์ พยาบาล ทำการรักษาด้วยความตั้งใจ การบริการดีเยี่ยม,5,"Modern medical equipment, doctors, nurses perform treatment with intent. Excellent service",rama
ฉันได้เข้าไปรักษาซีสที่รังไข่ด้วยวิธีการผ่าตัดที่โรงพยาบาลรามา คุณหมอดูแลดีมาก ผ่าตัดเชี่ยวชาญ ไม่เคยรู้สึกเจ็บ โรงพยาบาลี้ทำให้ดิฉันไม่กลัวการผ่าตัดค่ะ,5,I went to treat the cysts at the ovaries with surgical procedures at Rama Hospital. Very good doctor Specialized surgery Never feel hurt The hospital has made me not afraid of surgery.,rama
แพทย์ พยาบาล มีความเป็นมืออาชีพมาก สามารถจัดการกับปัญหาเฉพาะหน้าได้เป็นอย่างดี,4,"Doctors, nurses are very professional. Can deal with immediate problems as well",rama
คุณพยายาลพูดจาเพราะทุกคน ดูแลดีมาก โดยเฉพาะพยาบาลและผู้ช่วยพยาบาลชั้น7อาคาร1 ดูแลผู้ป่วยดีมาก  ร่วมถึงนักศึกษาแพทย์ทุกคนล้วนน่ารัก,5,"Khun Payaya spoke because everyone is very well taken care of, especially nurses and nursing assistants, 7th floor, Building 1 Very good patient care Together with all medical students are cute",rama
ศูนย์การแพทย์สมเด็จพระเทพรัตน์ รพ.รามาธิบดี  คุณหมอและพยาบาลหน้าห้อง น่ารักมากๆ ทักทายยิ้มแย้มแจ่มใส คุณหมอ ใส่ใจแนะนำการดูแลคุณแม่และลูกในครรภ์ดีมากๆ อย่างละเอียด ประทับใจมากๆ ค่ะ,5,"Somdet Phra Thepparat Medical Center, Ramathibodi Hospital, Doctor and Nurse in front of the room, very cute, greeted, smiling. The doctor cared to recommend taking care of mothers and children in the womb.",rama
รักษาตาติดเชื้ออยู่ที่โรงบาลนี้ค่ะคุณหมอที่เป้นหมอประจำของเราเขาพูดจาดีมากค่ะ,4,Keeping the eye infected at this hospital,rama
การบริการของหมอและพยาบาลดีมาก.  แต่ควรปรับปรุงคือเรื่องเวลา. รอตรวจนานมาก. รอรับยานานมากเช่นกันค่ะ,4,The service of the doctor and nurse is very good. But should improve is time Wait for a long time. Wait for a long time as well.,rama
พาลูกไปพบแพทย์ ที่ รพ.รามาธิบดี  ซึ่งประทับใจมากตรงที่ แพทย์เข้าใจปัญหาของผู้ป่วยอย่างลึกซึ้ง  แพทย์ที่นี่ เขาเข้าใจอาการของคนป่วยอย่างถูกต้องตามหลักสุขภาพที่มีเหตุมีผลที่สุด  ไม่มีการวินิจฉัยแบบ เดาสุ่มหรือขอไปที  แม้นจะมีคนไข้รอคิวรับการตรวจรักษาเป็นจำนวนมากๆ   แพทย์ที่ดูแลเราก็ยังยิ้มแย้มแจ่มใส  เป็นกันเอง  ไม่มีท่าที่หงุดหงิดให้เห็นเลย   นั่นคือ ความประทับใจที่คนไข้ได้รับ   จนยากจะอธิบาย   ซึ่งหาไม่ได้ง่ายๆ จากที่อื่นๆ    การวินิจฉัยที่ถูกต้องแม่นยำ ย่อมทำให้ผู้ป่วยหายเร็วขึ้น  การใช้จิตวิทยากับคนป่วย (ที่มีทุกข์อยู่แล้วทั้งทางกายและทางใจ)อย่างเป็นมิตร เป็นกันเอง  ไม่ใช้อารมณ์  รู้จักการอดกลั้นจากความเครียดที่ต้องดูแลผู้ป่วยจำนวนมากๆ  ใช้รอยยิ้มเป็นกันเองบนใบหน้าแพทย์ผู้รักษาย่อมเป็นยาชั้นเลิศด้านจิตใจให้กับผู้ป่วยทุกๆคน  อย่างปฎิเสธไม่ได้  นอกเหนือจากยารักษาทางกาย   ซึ่งจิตใจของคนป่วยหากสดชื่นมีกำลังใจแล้ว   โรคทางกายก็จะได้รับผลดีไปด้วยอย่างเห็นได้ชัดเจนที่สุด,5,"Took the child to see a doctor at Ramathibodi Hospital which was very impressed at Doctors understand the problems of patients deeply. Doctors here understand the symptoms of the patient correctly according to the most effective health principles. No diagnosis Wild or wry Even though there are many patients waiting to receive a treatment check The doctor who cared for us was still smiling, friendly and there was no frustration at all. That was the impression that patients received. Until difficult to explain Which cannot be easily found from other places. Accurate diagnosis Would make the patient recover faster Using psychology with sick people (Who are suffering both physically and mentally) in a friendly, friendly manner, not using emotion to recognize restraint from stress that requires care for many patients Using a friendly smile on the face, the medical practitioner is an excellent mind for every patient. Undeniably In addition to physical medicine Which the mind of the sick, if refreshing, is encouraged The physical disease will also receive the most noticeable results.",rama
